user_id,click_article_id
0,157541
0,68866
1,235840
1,96663
2,119592
2,30970
3,236065
3,236294
4,48915
4,44488
5,168868
5,207122
5,286413
6,202436
6,288431
7,235840
7,284847
8,332114
8,284847
8,114161
9,284346
9,285412
10,198420
10,198322
10,202436
11,207122
11,119592
12,288431
12,159359
12,119592
13,255575
13,255340
14,96663
14,145166
15,119592
15,108854
16,237620
16,162286
16,157132
16,207122
16,206233
16,256163
16,338351
17,264013
17,157861
17,348103
18,286421
18,286420
18,286414
18,286417
18,286410
18,168868
19,284847
19,119592
20,157541
20,157485
21,313504
21,140720
22,168868
22,119592
22,96663
22,270225
23,272947
23,159359
23,2137
24,162286
24,287174
24,161498
24,69341
25,128289
25,129960
26,119592
26,4658
26,168868
27,108854
27,97600
28,108854
28,61599
29,96663
29,288431
30,96663
30,284847
31,207122
31,338351
32,288431
32,235840
32,351615
33,272947
33,108854
34,202436
34,119592
35,308807
35,106933
36,283908
36,159359
37,284847
37,168701
38,145166
38,283908
38,277681
39,119592
39,284847
40,119592
40,144829
41,286418
41,284845
41,286413
42,145166
42,284346
42,157861
43,145166
43,119592
44,108854
44,72624
44,114161
44,157541
44,119592
45,157541
45,157485
46,207122
46,207129
47,300537
47,96663
48,119592
48,272947
49,283904
49,331293
50,96663
50,284847
51,284847
51,288431
52,160474
52,207122
53,284847
53,236682
53,119592
54,119592
54,32608
55,161927
55,207122
56,288431
56,97600
56,119592
57,119592
57,108854
58,119592
58,168701
59,234853
59,234995
60,168868
60,106886
60,78346
61,284847
61,288431
62,209723
62,251735
63,284847
63,108854
64,119592
64,236294
64,235840
64,235325
64,293182
64,292980
64,293264
64,168868
64,293285
64,157132
64,4243
64,68866
64,331813
64,158964
64,30970
64,234853
65,68866
65,156718
66,205897
66,166552
67,207122
67,110687
68,272660
68,313504
68,59758
68,175040
68,199198
69,119592
69,217852
70,119592
70,144829
70,136590
71,119592
71,168701
72,270847
72,270850
73,145119
73,144938
73,237620
74,205859
74,119592
75,251222
75,251735
76,157541
76,284845
77,288431
77,210017
78,108854
78,207122
78,106799
79,159359
79,205897
80,190703
80,119592
81,157541
81,159944
82,108854
82,119592
83,271216
83,29882
84,235840
84,198322
84,198420
85,7947
85,119592
86,106984
86,157077
87,202436
87,235840
87,96663
88,145166
88,284845
88,308807
89,288431
89,284847
89,96663
90,145166
90,288431
91,119592
91,332114
92,119592
92,209723
93,108854
93,235840
93,119592
94,277681
94,59782
94,168868
94,207122
94,68866
94,236294
94,119592
95,119592
95,284845
96,145166
96,284847
97,207122
97,205897
98,312545
98,159359
98,284847
99,96663
99,284847
100,332114
100,331293
100,331225
100,108854
101,236682
101,145166
102,96663
102,284845
102,119592
102,284847
102,285412
102,363291
102,361700
102,207122
103,293182
103,292980
104,205897
104,119592
105,108854
105,119592
106,108854
106,284847
106,168868
107,96663
107,288431
108,68866
108,108854
109,284847
109,288431
109,96663
110,237620
110,106819
110,293264
110,119592
111,202436
111,96663
112,207374
112,195586
112,72618
113,284847
113,157077
113,156025
114,288431
114,119592
115,236294
115,119592
115,284847
116,235840
116,96663
117,237620
117,162286
118,96663
118,288431
119,108854
119,68866
120,284847
120,288431
121,235840
121,157541
121,288431
122,235840
122,96663
123,160474
123,119592
124,235840
124,284847
124,285412
125,106819
125,119592
126,255575
126,254816
126,255930
126,255703
126,255368
127,119592
127,168868
128,96663
128,119592
129,119592
129,235840
130,108854
130,237620
131,96663
131,205897
132,288754
132,288904
133,284847
133,119592
133,363291
133,251735
134,119592
134,284845
134,277681
